Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Ethiopia,,,,,,2000,1000,4000,3000,8000,8000,15000,31000,48000,46000,56000,14000,13000,13000,32000,44000,143000,128000,89000,98000,193000,178000
European Union,15562000,18684000,20094000,18319000,15589000,15862000,15254000,16249000,16209000,14177000,13487000,13290000,12580000,13800000,14270000,16040000,16606000,16267000,16793000,17266000,17954000,18030000,17835000,16735000,16935000,18040000,17490000
Ghana,,,,,,,,,,,,127000,157000,176000,126000,127000,137000,144000,174000,175000,181000,177000,182000,205000,280000,270000,275000
Guatemala,47000,42000,40000,42000,37000,44000,48000,43000,38000,36000,36000,42000,51000,54000,60000,60000,52000,49000,37000,36000,40000,42000,18000,36000,36000,36000,36000
India,5024000,5150000,5032000,4040000,6430000,5750000,7820000,7320000,9310000,9135000,8840000,10530000,11500000,12096000,9908000,8888000,6710000,10261000,8840000,10880000,9830000,11190000,11010000,13000000,13150000,12850000,10875000
Indonesia,2360000,2153000,2281000,2031000,1873000,1939000,2029000,2074000,2042000,2116000,2350000,2550000,2558000,2429000,2685000,2750000,2854000,3000000,3050000,3160000,3154000,3130000,2772000,2690000,2910000,2750000,3055000
Iran,580000,738000,530000,703000,948000,1269000,611000,1460000,1176000,1185000,1185000,1085000,305000,305000,407000,1527000,1807000,2006000,2205000,2305000,2305000,2405000,2505000,3005000,2705000,2855000,3005000
Iraq,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,610000,410000,1204000,1250000
Israel,596000,598000,671000,567000,487000,543000,325000,452000,442000,323000,321000,373000,283000,323000,343000,363000,388000,395000,426000,377000,353000,270000,317000,307000,287000,267000,317000
Japan,5050000,5075000,5213000,5717000,4931000,4499000,4259000,4229000,4277000,3631000,3664000,3199000,2991000,2999000,3059000,3274000,3385000,3456000,3517000,3550000,3475000,3377000,3616000,3635000,3364000,3480000,3350000
Kazakhstan,,,,,,,0,108000,83000,99000,89000,106000,118000,147000,185000,207000,212000,218000,230000,246000,268000,266000,239000,244000,248000,224000,245000
Lebanon,,,,,,,,,,,,,,,,50000,200000,200000,250000,300000,250000,95000,110000,135000,135000,210000,200000
Malaysia,425000,582000,685000,562000,567000,603000,567000,529000,484000,523000,552000,565000,569000,557000,545000,612000,792000,741000,690000,730000,740000,745000,690000,665000,685000,710000,745000
Mexico,4135000,4485000,4595000,4375000,4024000,3764000,3758000,3826000,3735000,3635000,3635000,3660000,3710000,3685000,4065000,4210000,4434000,4846000,5497000,6198000,6052000,6251000,6410000,6710000,6595000,6735000,6885000
Morocco,181000,223000,242000,330000,434000,469000,450000,454000,410000,395000,200000,100000,76000,74000,134000,128000,100000,67000,27000,28000,101000,27000,53000,36000,28000,34000,50000
Myanmar,85000,99000,109000,119000,122000,147000,154000,185000,200000,214000,239000,254000,255000,162000,163000,161000,157000,170000,168000,176000,168000,146000,138000,149000,132000,134000,140000
Nicaragua,20000,7000,6000,6000,7000,8000,6000,2000,2000,2000,3000,3000,3000,7000,7000,8000,9000,9000,9000,9000,9000,7000,14000,7000,7000,7000,7000
Nigeria,338000,437000,444000,470000,501000,518000,557000,608000,585000,573000,453000,420000,499000,565000,581000,600000,750000,820000,900000,1020000,1120000,1240000,1175000,1325000,1025000,1425000,1450000
North Korea,178000,125000,178000,143000,288000,234000,213000,202000,183000,205000,174000,180000,188000,188000,167000,166000,220000,250000,250000,174000,233000,234000,205000,195000,185000,185000,185000
