ST_CTY,State Name,County Name,Crop Name,Program,Enrolled Base
01043,Alabama,Cullman,Seed Cotton,ARCCO,625.77
01043,Alabama,Cullman,Seed Cotton,PLC,441.19
01043,Alabama,Cullman,Soybeans,ARCCO,"1,494.80"
01043,Alabama,Cullman,Soybeans,PLC,311.61
01043,Alabama,Cullman,Wheat,ARCCO,783.1
01043,Alabama,Cullman,Wheat,PLC,226.72
01045,Alabama,Dale,Corn,ARCCO,647.6
01045,Alabama,Dale,Corn,PLC,"2,112.67"
01045,Alabama,Dale,Grain Sorghum,ARCCO,136.27
01045,Alabama,Dale,Grain Sorghum,PLC,360.79
01045,Alabama,Dale,Oats,ARCCO,120.36
01045,Alabama,Dale,Oats,PLC,481.76
01045,Alabama,Dale,Peanuts,PLC,"18,912.93"
01045,Alabama,Dale,Seed Cotton,ARCCO,88.05
01045,Alabama,Dale,Seed Cotton,PLC,"5,131.25"
01045,Alabama,Dale,Soybeans,PLC,185.57
01045,Alabama,Dale,Wheat,ARCCO,125.18
01045,Alabama,Dale,Wheat,PLC,939.45
01047,Alabama,Dallas,Corn,ARCCO,"1,428.17"
01047,Alabama,Dallas,Corn,PLC,"2,383.88"
01047,Alabama,Dallas,Grain Sorghum,ARCCO,170.9
01047,Alabama,Dallas,Grain Sorghum,PLC,965.97
01047,Alabama,Dallas,Oats,ARCCO,264.78
01047,Alabama,Dallas,Oats,PLC,273.75
01047,Alabama,Dallas,Peanuts,PLC,"4,934.57"
01047,Alabama,Dallas,Seed Cotton,ARCCO,"1,221.76"
01047,Alabama,Dallas,Seed Cotton,PLC,"2,921.58"
01047,Alabama,Dallas,Soybeans,ARCCO,"3,869.61"
01047,Alabama,Dallas,Soybeans,PLC,220.18
01047,Alabama,Dallas,Wheat,ARCCO,"2,242.62"
01047,Alabama,Dallas,Wheat,PLC,"10,290.82"
01049,Alabama,DeKalb,Barley,ARCCO,26.94
01049,Alabama,DeKalb,Corn,ARCCO,"8,278.14"
01049,Alabama,DeKalb,Corn,PLC,"2,205.31"
01049,Alabama,DeKalb,Grain Sorghum,ARCCO,143.2
01049,Alabama,DeKalb,Grain Sorghum,PLC,147.51
01049,Alabama,DeKalb,Seed Cotton,ARCCO,158.24
01049,Alabama,DeKalb,Seed Cotton,PLC,235.11
01049,Alabama,DeKalb,Soybeans,ARCCO,"5,760.49"
01049,Alabama,DeKalb,Soybeans,PLC,448.26
01049,Alabama,DeKalb,Wheat,ARCCO,"1,462.36"
01049,Alabama,DeKalb,Wheat,PLC,676.37
01051,Alabama,Elmore,Corn,ARCCO,"2,144.44"
01051,Alabama,Elmore,Corn,PLC,181.76
01051,Alabama,Elmore,Grain Sorghum,ARCCO,33.7
01051,Alabama,Elmore,Peanuts,PLC,154.75
01051,Alabama,Elmore,Seed Cotton,ARCCO,"3,748.03"
01051,Alabama,Elmore,Seed Cotton,PLC,"1,559.52"
01051,Alabama,Elmore,Soybeans,ARCCO,"1,501.93"
01051,Alabama,Elmore,Soybeans,PLC,34.02
01051,Alabama,Elmore,Wheat,ARCCO,843.52
01051,Alabama,Elmore,Wheat,PLC,108.26
01053,Alabama,Escambia,Corn,ARCCO,427.49
01053,Alabama,Escambia,Corn,PLC,"1,406.72"
01053,Alabama,Escambia,Grain Sorghum,PLC,60.05
01053,Alabama,Escambia,Oats,ARCCO,102.44
01053,Alabama,Escambia,Oats,PLC,135.02
01053,Alabama,Escambia,Peanuts,PLC,"12,276.64"
01053,Alabama,Escambia,Seed Cotton,PLC,"13,365.52"
01053,Alabama,Escambia,Soybeans,ARCCO,"1,124.97"
01053,Alabama,Escambia,Soybeans,PLC,"1,208.23"
01053,Alabama,Escambia,Wheat,ARCCO,619.51
01053,Alabama,Escambia,Wheat,PLC,"1,803.65"
01055,Alabama,Etowah,Corn,ARCCO,"1,129.44"
01055,Alabama,Etowah,Corn,PLC,473.51
01055,Alabama,Etowah,Grain Sorghum,PLC,26.4
01055,Alabama,Etowah,Seed Cotton,ARCCO,"1,626.09"
01055,Alabama,Etowah,Seed Cotton,PLC,375.18
01055,Alabama,Etowah,Soybeans,ARCCO,"1,490.55"
01055,Alabama,Etowah,Soybeans,PLC,114.26
01055,Alabama,Etowah,Wheat,ARCCO,60.67
01055,Alabama,Etowah,Wheat,PLC,169.41
01057,Alabama,Fayette,Corn,ARCCO,"1,534.57"
01057,Alabama,Fayette,Corn,PLC,329.47
01057,Alabama,Fayette,Grain Sorghum,ARCCO,28.46
01057,Alabama,Fayette,Grain Sorghum,PLC,91.5
01057,Alabama,Fayette,Seed Cotton,PLC,"2,616.80"
01057,Alabama,Fayette,Soybeans,ARCCO,380.02
01057,Alabama,Fayette,Soybeans,PLC,422.06
01057,Alabama,Fayette,Wheat,ARCCO,61.75
01057,Alabama,Fayette,Wheat,PLC,179.93
01059,Alabama,Franklin,Corn,ARCCO,"1,381.51"
01059,Alabama,Franklin,Corn,PLC,513.08
01059,Alabama,Franklin,Grain Sorghum,ARCCO,104.13
01059,Alabama,Franklin,Seed Cotton,ARCCO,"1,178.77"
01059,Alabama,Franklin,Soybeans,ARCCO,"1,504.47"
01059,Alabama,Franklin,Wheat,ARCCO,148.13
01059,Alabama,Franklin,Wheat,PLC,473.83
01061,Alabama,Geneva,Canola,PLC,23.9
01061,Alabama,Geneva,Corn,ARCCO,"3,811.59"
01061,Alabama,Geneva,Corn,PLC,"1,843.46"
01061,Alabama,Geneva,Grain Sorghum,ARCCO,404.97
01061,Alabama,Geneva,Grain Sorghum,PLC,166.34
01061,Alabama,Geneva,Oats,ARCCO,"1,797.67"
01061,Alabama,Geneva,Oats,PLC,"1,075.46"
01061,Alabama,Geneva,Peanuts,PLC,"45,009.97"
01061,Alabama,Geneva,Seed Cotton,PLC,"11,876.20"
01061,Alabama,Geneva,Soybeans,ARCCO,"1,082.03"
01061,Alabama,Geneva,Soybeans,PLC,311.38
01061,Alabama,Geneva,Wheat,ARCCO,873.28
01061,Alabama,Geneva,Wheat,PLC,879.9
01063,Alabama,Greene,Corn,ARCCO,45.12
01063,Alabama,Greene,Corn,PLC,536.2
01063,Alabama,Greene,Grain Sorghum,PLC,351.5
01063,Alabama,Greene,Oats,PLC,21.8
01063,Alabama,Greene,Soybeans,PLC,123.31
01063,Alabama,Greene,Wheat,PLC,"1,769.27"
01065,Alabama,Hale,Corn,PLC,"1,425.19"
01065,Alabama,Hale,Grain Sorghum,PLC,435.58
01065,Alabama,Hale,Oats,PLC,171.9
01065,Alabama,Hale,Peanuts,PLC,"1,270.97"
01065,Alabama,Hale,Seed Cotton,PLC,260.18
01065,Alabama,Hale,Soybeans,PLC,353.01
01065,Alabama,Hale,Wheat,PLC,"5,148.27"
01067,Alabama,Henry,Corn,ARCCO,959.59
01067,Alabama,Henry,Corn,PLC,"3,146.01"
01067,Alabama,Henry,Grain Sorghum,ARCCO,206.2
01067,Alabama,Henry,Grain Sorghum,PLC,918.87
01067,Alabama,Henry,Oats,ARCCO,292.8
01067,Alabama,Henry,Oats,PLC,649.32
01067,Alabama,Henry,Peanuts,PLC,"36,559.92"
01067,Alabama,Henry,Seed Cotton,PLC,"8,208.08"
01067,Alabama,Henry,Soybeans,ARCCO,176.93
01067,Alabama,Henry,Soybeans,PLC,527.18
01067,Alabama,Henry,Wheat,ARCCO,477.88
01067,Alabama,Henry,Wheat,PLC,"1,383.27"
01069,Alabama,Houston,Corn,ARCCO,836.96
01069,Alabama,Houston,Corn,PLC,"3,412.45"
01069,Alabama,Houston,Grain Sorghum,ARCCO,101.19
01069,Alabama,Houston,Grain Sorghum,PLC,792.51
01069,Alabama,Houston,Oats,ARCCO,218.57
01069,Alabama,Houston,Oats,PLC,"1,148.25"
01069,Alabama,Houston,Peanuts,PLC,"56,421.67"
01069,Alabama,Houston,Seed Cotton,PLC,"10,220.53"
01069,Alabama,Houston,Soybeans,ARCCO,330.41
01069,Alabama,Houston,Soybeans,PLC,"1,826.93"
01069,Alabama,Houston,Wheat,ARCCO,497.29
01069,Alabama,Houston,Wheat,PLC,"1,766.96"
01071,Alabama,Jackson,Barley,ARCCO,13.64
01071,Alabama,Jackson,Corn,ARCCO,"16,719.79"
01071,Alabama,Jackson,Corn,PLC,"1,085.58"
01071,Alabama,Jackson,Grain Sorghum,ARCCO,363.94
01071,Alabama,Jackson,Grain Sorghum,PLC,162.66
01071,Alabama,Jackson,Oats,ARCCO,27.58
01071,Alabama,Jackson,Seed Cotton,ARCCO,"1,557.83"
01071,Alabama,Jackson,Soybeans,ARCCO,"15,075.99"
01071,Alabama,Jackson,Wheat,ARCCO,"2,683.15"
01071,Alabama,Jackson,Wheat,PLC,109.41
01075,Alabama,Lamar,Corn,ARCCO,"1,082.25"
01075,Alabama,Lamar,Corn,PLC,223.46
01075,Alabama,Lamar,Grain Sorghum,PLC,13.92
01075,Alabama,Lamar,Seed Cotton,ARCCO,197.7
01075,Alabama,Lamar,Soybeans,ARCCO,635.76
01075,Alabama,Lamar,Wheat,ARCCO,174.94
01075,Alabama,Lamar,Wheat,PLC,32.03
01077,Alabama,Lauderdale,Corn,ARCCO,"7,379.05"
01077,Alabama,Lauderdale,Corn,PLC,"1,797.98"
01077,Alabama,Lauderdale,Grain Sorghum,ARCCO,195.6
01077,Alabama,Lauderdale,Grain Sorghum,PLC,78.4
01077,Alabama,Lauderdale,Oats,ARCCO,52.7
01077,Alabama,Lauderdale,Seed Cotton,ARCCO,"9,859.61"
01077,Alabama,Lauderdale,Seed Cotton,PLC,"2,342.09"
01077,Alabama,Lauderdale,Soybeans,ARCCO,"5,501.89"
01077,Alabama,Lauderdale,Soybeans,PLC,206.58
01077,Alabama,Lauderdale,Wheat,ARCCO,"3,631.44"
01077,Alabama,Lauderdale,Wheat,PLC,"1,200.76"
01079,Alabama,Lawrence,Barley,ARCCO,5.04
01079,Alabama,Lawrence,Corn,ARCCO,"2,928.65"
01079,Alabama,Lawrence,Corn,PLC,"3,674.93"
01079,Alabama,Lawrence,Grain Sorghum,ARCCO,142.41
01079,Alabama,Lawrence,Grain Sorghum,PLC,335.36
01079,Alabama,Lawrence,Seed Cotton,ARCCO,"16,745.64"
01079,Alabama,Lawrence,Seed Cotton,PLC,"9,075.31"
01079,Alabama,Lawrence,Soybeans,ARCCO,"2,430.25"
01079,Alabama,Lawrence,Soybeans,PLC,"1,536.73"
01079,Alabama,Lawrence,Wheat,ARCCO,681.04
01079,Alabama,Lawrence,Wheat,PLC,"2,125.12"
01081,Alabama,Lee,Corn,ARCCO,77.93
01081,Alabama,Lee,Oats,PLC,7
01081,Alabama,Lee,Peanuts,PLC,"1,346.08"
01081,Alabama,Lee,Seed Cotton,PLC,"2,530.30"
01081,Alabama,Lee,Wheat,PLC,102.37
01083,Alabama,Limestone,Barley,ARCCO,55.49
01083,Alabama,Limestone,Canola,ARCCO,133.04
01083,Alabama,Limestone,Canola,PLC,228.79
01083,Alabama,Limestone,Corn,ARCCO,"7,989.91"
01083,Alabama,Limestone,Corn,PLC,"1,415.13"
01083,Alabama,Limestone,Grain Sorghum,ARCCO,299.8
01083,Alabama,Limestone,Grain Sorghum,PLC,134.25
01083,Alabama,Limestone,Oats,ARCCO,25.56
01083,Alabama,Limestone,Seed Cotton,ARCCO,"21,016.76"
01083,Alabama,Limestone,Seed Cotton,PLC,"12,665.58"
01083,Alabama,Limestone,Soybeans,ARCCO,"15,289.21"
01083,Alabama,Limestone,Soybeans,PLC,964.7
01083,Alabama,Limestone,Sunflower Seed,ARCCO,46.48
01083,Alabama,Limestone,Sunflower Seed,PLC,50.71
01083,Alabama,Limestone,Wheat,ARCCO,"3,380.19"
01083,Alabama,Limestone,Wheat,PLC,"5,430.61"
01085,Alabama,Lowndes,Corn,ARCCO,305.25
01085,Alabama,Lowndes,Corn,PLC,"1,457.52"
01085,Alabama,Lowndes,Grain Sorghum,PLC,310.69
01085,Alabama,Lowndes,Oats,PLC,126.1
01085,Alabama,Lowndes,Seed Cotton,PLC,"1,715.68"
01085,Alabama,Lowndes,Soybeans,ARCCO,305.1
01085,Alabama,Lowndes,Wheat,ARCCO,635.31
01085,Alabama,Lowndes,Wheat,PLC,"4,255.67"
01087,Alabama,Macon,Corn,ARCCO,482.49
01087,Alabama,Macon,Corn,PLC,107.27
01087,Alabama,Macon,Peanuts,PLC,292.5
01087,Alabama,Macon,Seed Cotton,ARCCO,281.87
01087,Alabama,Macon,Seed Cotton,PLC,"2,050.01"
01087,Alabama,Macon,Soybeans,ARCCO,180.43
01087,Alabama,Macon,Soybeans,PLC,432.14
01087,Alabama,Macon,Wheat,ARCCO,572
01089,Alabama,Madison,Barley,ARCCO,48.3
01089,Alabama,Madison,Corn,ARCCO,"16,317.40"
01089,Alabama,Madison,Corn,PLC,324.79
01089,Alabama,Madison,Grain Sorghum,ARCCO,299.66
01089,Alabama,Madison,Grain Sorghum,PLC,20.89
01089,Alabama,Madison,Oats,ARCCO,20.5
01089,Alabama,Madison,Seed Cotton,ARCCO,"25,100.50"
01089,Alabama,Madison,Seed Cotton,PLC,"2,802.99"
01089,Alabama,Madison,Soybeans,ARCCO,"15,883.72"
01089,Alabama,Madison,Soybeans,PLC,110.93
01089,Alabama,Madison,Wheat,ARCCO,"6,469.28"
01089,Alabama,Madison,Wheat,PLC,"3,475.08"
01091,Alabama,Marengo,Corn,PLC,"3,176.89"
01091,Alabama,Marengo,Grain Sorghum,PLC,"1,388.90"
01091,Alabama,Marengo,Oats,PLC,300.5
01091,Alabama,Marengo,Seed Cotton,PLC,"1,017.74"
01091,Alabama,Marengo,Soybeans,PLC,528.66
01091,Alabama,Marengo,Wheat,PLC,"10,047.43"
01093,Alabama,Marion,Corn,ARCCO,"1,750.56"
01093,Alabama,Marion,Corn,PLC,947.64
01093,Alabama,Marion,Grain Sorghum,ARCCO,63.29
01093,Alabama,Marion,Grain Sorghum,PLC,43.8
01093,Alabama,Marion,Seed Cotton,ARCCO,570.36
01093,Alabama,Marion,Seed Cotton,PLC,60.23
01093,Alabama,Marion,Soybeans,ARCCO,"1,800.02"
01093,Alabama,Marion,Soybeans,PLC,129.05
01093,Alabama,Marion,Wheat,ARCCO,390.22
01093,Alabama,Marion,Wheat,PLC,456.85
01095,Alabama,Marshall,Barley,ARCCO,2.2
01095,Alabama,Marshall,Corn,ARCCO,"4,508.04"
01095,Alabama,Marshall,Corn,PLC,516.41
01095,Alabama,Marshall,Grain Sorghum,ARCCO,286.03
01095,Alabama,Marshall,Grain Sorghum,PLC,17.37
01095,Alabama,Marshall,Oats,ARCCO,8
01095,Alabama,Marshall,Seed Cotton,ARCCO,304.27
01095,Alabama,Marshall,Soybeans,ARCCO,"2,760.60"
01095,Alabama,Marshall,Soybeans,PLC,281.32
01095,Alabama,Marshall,Wheat,ARCCO,"1,146.53"
01095,Alabama,Marshall,Wheat,PLC,117.39
01097,Alabama,Mobile,Corn,PLC,"1,494.23"
01097,Alabama,Mobile,Grain Sorghum,PLC,18.71
