state,year,titlei,ci_net_benefit,abbreviation,snap_cost,title_ii
Kentucky,2021,24775,2478355,KY,1610391177,6473767
Louisiana,2018,142607553.6,60940970,LA,1297321641,31076252
Louisiana,2019,157453423,106699553,LA,1214657938,27299053
Louisiana,2020,83581289,95771736,LA,1576364622,37256087
Louisiana,2021,14112232,87603734,LA,2462801412,18239965
Maine,2018,258216,1774180,ME,218217647,559685
Maine,2019,325201,5976037,ME,203630527,81383
Maine,2020,486198,5847439,ME,277026746,504469
Maine,2021,135,2008237,ME,409896690,388950
Maryland,2018,10294221.16,9909502,MD,910098604,1112170
Maryland,2019,15789892,1349989,MD,878649666,869981
Maryland,2020,2665576,573994,MD,1270867930,1078592
Maryland,2021,0,-5727587,MD,2146479444,523049
Massachusetts,2018,3473,208376,MA,1159118509,172446
Massachusetts,2019,199699,378166,MA,1131148466,129697
Massachusetts,2020,78,1493961,MA,1472070728,198132
Massachusetts,2021,0,8667498,MA,2350041332,41301
Michigan,2018,15135282,35468175,MI,1894038446,6356171
Michigan,2019,90857822,244091457,MI,1701430344,5094430
Michigan,2020,10649740,24857240,MI,2296880243,6035808
Michigan,2021,27110,-2757818,MI,3246391707,8042992
Minnesota,2018,60442929.03,144461927,MN,544420005,69246551
Minnesota,2019,389959064,584065946,MN,509464759,68920906
Minnesota,2020,37724139,6958342,MN,959125365,72116763
Minnesota,2021,8224393,203833854,MN,1985655426,50188041
Mississippi,2018,112331541.2,49760197,MS,679722657,81958920
Mississippi,2019,187675857,175842348,MS,605780127,14561911
Mississippi,2020,93157949,110233309,MS,772290269,107174127
Mississippi,2021,9650198,84173495,MS,1066435430,60245986
Missouri,2018,152134765.2,133185265,MO,1061334229,24311212
Missouri,2019,200488184,320006822,MO,996212141,27307519
Missouri,2020,61190451,35022115,MO,1324976208,34181215
Missouri,2021,5906950,67080163,MO,1734889161,24441896
Montana,2018,81794023.96,46825592,MT,158389738,37076835
Montana,2019,188366594.1,52718588,MT,146944184,31280775
Montana,2020,103689222,-4545023,MT,192530803,40068299
Montana,2021,9286575,433267005,MT,228795841,20016406
Nebraska,2018,42211258.26,-43334050,NE,229206174,54107315
Nebraska,2019,247442312.4,31528882,NE,221960791,49152719
Nebraska,2020,30653399,2336608,NE,254347798,65474031
Nebraska,2021,1698047,-109790378,NE,356554249,33574813
Nevada,2018,403516,20273988,NV,614241940,410307
Nevada,2019,1216321,17615768,NV,587953503,388846
Nevada,2020,666198,115327963,NV,806791228,230814
Nevada,2021,0,65600342,NV,1085383815,638699
New Hampshire,2018,43256,124453,NH,101469828,434620
New Hampshire,2019,125621,80352,NH,92889191,266547
New Hampshire,2020,58701,100546,NH,116852942,442384
New Hampshire,2021,0,62539,NH,174557213,589671
New Jersey,2018,1289547.78,8091237,NJ,1012654300,237818
New Jersey,2019,1823716.37,4414786,NJ,953558696,250084
New Jersey,2020,205768,716250,NJ,1288738288,296283
New Jersey,2021,23,-594988,NJ,2169432714,218905
New Mexico,2018,14953157,40373071,NM,638421821,19156314
New Mexico,2019,24301016.82,27027809,NM,632907856,9438097
New Mexico,2020,10207516,103601714,NM,903755521,14139808
New Mexico,2021,1898848,86860820,NM,1339883626,10195166
New York,2018,1111945,6828831,NY,4526970965,5294728
New York,2019,14505801.38,60854656,NY,4339617966,6186275
New York,2020,1849958,16534133,NY,5118950034,4916376
New York,2021,5994,11238866,NY,7311543597,3158639
North Carolina,2018,71053924.82,289813189,NC,1919051873,1854784
North Carolina,2019,125540140.8,179949561,NC,1863656810,2372836
North Carolina,2020,63497378,255892861,NC,2391518239,3908777
North Carolina,2021,11891409,71358528,NC,3994650815,4525110
North Dakota,2018,152099083.8,53518746,ND,75391175,65371359
North Dakota,2019,473131281.8,665066491,ND,68485818,64799943
North Dakota,2020,194611111.6,757579320,ND,84360845,65809004
North Dakota,2021,40609864,1451560385,ND,113160074,42454904
Ohio,2018,6424456.55,-36570207,OH,2078237006,6179399
Ohio,2019,157653099.6,423012758,OH,2020497444,6342509
Ohio,2020,15975992.8,-10052788,OH,3099962149,9566322
Ohio,2021,24762,-103477629,OH,3865203855,5088184
Oklahoma,2018,96066395.65,139892868,OK,832653493,52171162
Oklahoma,2019,191180904.5,62805703,OK,819546294,46476968
Oklahoma,2020,95833075.63,50960311,OK,1056260544,43079795
Oklahoma,2021,6358298,32203739,OK,1472962209,24431965
Oregon,2018,5740755,13555155,OR,937798988,19608259
Oregon,2019,44189309,18538790,OR,884189650,31312784
Oregon,2020,22495357.1,60037948,OR,1170543331,22914763
Oregon,2021,847086,122563008,OR,1847403478,10692691
Pennsylvania,2018,8243150,24787861,PA,2592183684,6009604
Pennsylvania,2019,7513321.04,18718804,PA,2513696584,8055750
Pennsylvania,2020,4715186.23,47587769,PA,3249170462,7096046
Pennsylvania,2021,1041,6525710,PA,5170214891,5243179
Puerto Rico,2018,0,,,,111865
Puerto Rico,2019,0,,,,179854
Puerto Rico,2020,0,,,,192092
Puerto Rico,2021,0,,,,206051
Rhode Island,2018,2507,94638,RI,259191919,116045
Rhode Island,2019,6190,82656,RI,244223564,138755
Rhode Island,2020,12236,302153,RI,278985653,193605
Rhode Island,2021,0,131638,RI,378689563,227862
South Carolina,2018,25362372.11,71530522,SC,943922431,7015230
South Carolina,2019,55849336.81,70012682,SC,854652751,4513168
South Carolina,2020,26901462.8,66895372,SC,1101611441,9802152
South Carolina,2021,6555052,-8816548,SC,1550266093,2076391
South Dakota,2018,65814768.88,97241759,SD,131112641,84557363
South Dakota,2019,276291436,901000945,SD,121995672,73129841
South Dakota,2020,42651996.77,324110146,SD,143860091,82152011
South Dakota,2021,21170322,446352686,SD,177819200,61279388
Tennessee,2018,27063153.9,22681044,TN,1424890904,6439051
Tennessee,2019,77175951.19,33987310,TN,1307248122,6323203
Tennessee,2020,30687397.95,32695856,TN,1774499562,11684213
Tennessee,2021,131085,4232106,TN,3094821635,6445388
Texas,2018,448259383.6,1278185996,TX,5525177455,26991031
Texas,2019,670933094.9,890369041,TX,4767112796,25417944
Texas,2020,324567805.4,1191732947,TX,6300171765,35455184
Texas,2021,46165876,698668468,TX,8751945285,13529694
Utah,2018,3441231.21,11447224,UT,258536027,6353563
Utah,2019,7964545,6117434,UT,234552832,4531778
Utah,2020,3658614,43216477,UT,279594698,8182327
Utah,2021,0,37920561,UT,412957155,5366668
Vermont,2018,35958,332498,VT,106782062,90791
Vermont,2019,1024657,2350957,VT,100248674,101412
Vermont,2020,10801,1182102,VT,117478730,241649
Vermont,2021,0,852691,VT,169354925,396153
Virginia,2018,19060603.9,24033118,VA,1051800978,5878981
Virginia,2019,35227659.17,26180404,VA,1002380166,10102027
Virginia,2020,23536593.89,43383574,VA,1331022987,5970809
Virginia,2021,5458815,9694087,VA,1901832165,6611376
Washington,2018,7256149,-7041844,WA,1268734555,18813726
Washington,2019,131041572.9,45674553,WA,1192380309,19279877
Washington,2020,65196191.39,50823315,WA,1598425639,19824177
Washington,2021,5824031,346448322,WA,2359661930,13695416
West Virginia,2018,558566,1034779,WV,440298715,1754505
West Virginia,2019,791223,130799,WV,397899950,2176884
West Virginia,2020,128198,1577602,WV,518346256,2531418
West Virginia,2021,0,1146870,WV,772297950,2195486
Wisconsin,2018,5660627.54,40878887,WI,816882114,21331863
Wisconsin,2019,72959830.5,171929899,WI,778373061,15771452
Wisconsin,2020,2902988.09,464118,WI,1104399935,26305221
Wisconsin,2021,6574,-33365585,WI,1964034853,19426624
Wyoming,2018,3782910.08,3821813,WY,40676283,4906826
Wyoming,2019,8633961.85,10270499,WY,36277115,4572026
Wyoming,2020,3868513.77,19649798,WY,45870674,4800462
Wyoming,2021,55399,17452029,WY,73313685,1941975
Alabama,2014,44290124.97,,,,
Alaska,2014,0,,,,
Arizona,2014,70356,,,,
Arkansas,2014,220717012.6,,,,
California,2014,12167689,,,,
Colorado,2014,57356975.3,,,,
Connecticut,2014,666241,,,,
Delaware,2014,4997,,,,
Florida,2014,23065455.24,,,,
Georgia,2014,170838577.1,,,,
Hawaii,2014,0,,,,
Idaho,2014,26686118,,,,
Illinois,2014,242424578.8,,,,
Indiana,2014,157730257.9,,,,
Iowa,2014,937321766,,,,
Kansas,2014,312856073,,,,
Kentucky,2014,55095579.68,,,,
Louisiana,2014,89437864.76,,,,
Maine,2014,1679754,,,,
Maryland,2014,2173745.66,,,,
Massachusetts,2014,924873,,,,
Michigan,2014,154718231.9,,,,
Minnesota,2014,699504155.3,,,,
Mississippi,2014,51100042.85,,,,
Missouri,2014,38291793.41,,,,
Montana,2014,12389754.19,,,,
Nebraska,2014,650770324.2,,,,
Nevada,2014,93338,,,,
New Hampshire,2014,603722,,,,
New Jersey,2014,1283577,,,,
New Mexico,2014,8041285.12,,,,
New York,2014,47597499.27,,,,
North Carolina,2014,43425569.54,,,,
North Dakota,2014,198688895.1,,,,
Ohio,2014,244921192.4,,,,
Oklahoma,2014,76520326.26,,,,
Oregon,2014,31601762,,,,
Pennsylvania,2014,15635747,,,,
Puerto Rico,2014,0,,,,
Rhode Island,2014,37119,,,,
South Carolina,2014,29525489.62,,,,
South Dakota,2014,249364933,,,,
Tennessee,2014,7642317,,,,
Texas,2014,200884530.7,,,,
Utah,2014,3004641,,,,
Vermont,2014,2873156,,,,
Virginia,2014,22414757.5,,,,
Washington,2014,95111866.26,,,,
West Virginia,2014,1227949,,,,
Wisconsin,2014,235296375.5,,,,
Wyoming,2014,2241989.45,,,,
Alabama,2015,77332688.81,,,,
Alaska,2015,13977,,,,
Arizona,2015,8849917.89,,,,
Arkansas,2015,376018328,,,,
California,2015,33489130.34,,,,
Colorado,2015,103417180.9,,,,
Connecticut,2015,661291,,,,
Delaware,2015,8277078.32,,,,
Florida,2015,35491265.88,,,,
Georgia,2015,272059497.9,,,,
Hawaii,2015,0,,,,
Idaho,2015,63835503.25,,,,
Illinois,2015,932575775.2,,,,
Indiana,2015,540277003.9,,,,
Iowa,2015,664951720.4,,,,
Kansas,2015,366034903.3,,,,
Kentucky,2015,60371533.75,,,,
Louisiana,2015,176922128.2,,,,
Maine,2015,1966241,,,,
Maryland,2015,20495434.94,,,,
Massachusetts,2015,896981,,,,
Michigan,2015,155534583.2,,,,
Minnesota,2015,404531705.6,,,,
